measId,targetAz,targetEl,angDev,targetDist,distDev
1,0,90,5,1.2,0.1
2,0,0,5,1.2,0.1
3,0,-90,5,1.2,0.1
4,0,45,5,1.2,0.1
5,0,-45,5,1.2,0.1
6,18.4,17.5,5,1.2,0.1
7,18.4,-17.5,5,1.2,0.1
8,45,0,5,1.2,0.1
9,45,64.8,5,1.2,0.1
10,45,35.3,5,1.2,0.1
11,45,-35.3,5,1.2,0.1
12,45,-64.8,5,1.2,0.1
13,71.6,17.5,5,1.2,0.1
14,71.6,-17.5,5,1.2,0.1
15,90,0,5,1.2,0.1
16,90,45,5,1.2,0.1
17,90,-45,5,1.2,0.1
18,108.4,17.5,5,1.2,0.1
19,108.4,-17.5,5,1.2,0.1
20,135,0,5,1.2,0.1
21,135,64.8,5,1.2,0.1
22,135,35.3,5,1.2,0.1
23,135,-35.3,5,1.2,0.1
24,135,-64.8,5,1.2,0.1
25,161.6,17.5,5,1.2,0.1
26,161.6,-17.5,5,1.2,0.1
27,180,0,5,1.2,0.1
28,180,45,5,1.2,0.1
29,180,-45,5,1.2,0.1
30,-161.6,17.5,5,1.2,0.1
31,-161.6,-17.5,5,1.2,0.1
32,-135,0,5,1.2,0.1
33,-135,64.8,5,1.2,0.1
34,-135,35.3,5,1.2,0.1
35,-135,-35.3,5,1.2,0.1
36,-135,-64.8,5,1.2,0.1
37,-108.4,17.5,5,1.2,0.1
38,-108.4,-17.5,5,1.2,0.1
39,-90,0,5,1.2,0.1
40,-90,45,5,1.2,0.1
41,-90,-45,5,1.2,0.1
42,-71.6,17.5,5,1.2,0.1
43,-71.6,-17.5,5,1.2,0.1
44,-45,64.8,5,1.2,0.1
45,-45,35.3,5,1.2,0.1
46,-45,-35.3,5,1.2,0.1
47,-45,-64.8,5,1.2,0.1
48,-45,0,5,1.2,0.1
49,-18.4,17.5,5,1.2,0.1
50,-18.4,-17.5,5,1.2,0.1
